match_id,radiant_win,duration,Support,Initiator,Pusher,Escape,Nuker,Carry,Durable,Disabler,early_game_gold_adv,early_game_xp_adv,radiant_bottom_tier_2,radiant_bottom_tier_1,radiant_middle_tier_2,radiant_middle_tier_1,radiant_top_tier_2,radiant_top_tier_1,dire_bottom_tier_2,dire_bottom_tier_1,dire_middle_tier_2,dire_middle_tier_1,dire_top_tier_2,dire_top_tier_1,radiant_score_adv
7955458574,1,41,2,4,1,3,4,3,2,4,97,737,0,0,0,0,0,0,0,0,1,0,0,0,6
7955520364,1,26,4,3,0,2,4,3,2,4,-518,-1318,1,0,1,1,1,0,0,0,0,0,0,0,10
7955530307,1,34,4,2,0,2,4,2,1,4,3663,2602,1,0,1,0,1,1,0,0,0,0,0,0,10
7955583639,1,22,2,2,0,4,5,2,2,3,7006,8082,1,1,1,1,1,1,0,0,0,0,0,0,39
7955593037,0,29,1,3,0,2,3,3,3,3,-236,474,0,0,0,0,0,0,1,1,1,0,1,0,-18
7955643318,1,41,2,1,0,1,3,4,2,2,4897,3202,0,0,0,0,0,0,0,0,0,0,0,0,-4
7955697423,0,35,1,1,1,0,3,3,5,4,-369,230,0,0,1,1,0,0,1,0,0,0,0,0,-5
7955735854,1,32,1,2,2,2,4,3,1,4,2988,4204,1,0,0,0,1,0,0,0,0,0,1,0,17
7955764780,1,34,2,2,2,2,4,3,3,4,1723,-25,0,0,1,0,1,0,0,0,0,0,0,0,16
7955792123,1,29,1,2,2,1,3,4,2,4,-2443,-1381,1,0,1,0,1,1,0,0,0,0,0,0,3
7955814886,1,23,2,2,0,2,3,3,2,4,1087,845,1,0,1,1,1,1,1,0,0,0,0,0,18
7955833872,1,30,1,1,0,2,3,5,2,3,3283,4109,0,0,0,0,0,0,1,0,0,1,0,0,10
7955856174,0,22,0,2,1,3,3,4,4,3,1605,1898,0,0,0,0,1,1,1,0,1,0,0,0,-7
7955894234,0,43,2,3,1,4,3,1,2,5,-4534,-4013,0,0,0,0,0,0,0,0,0,0,0,0,-17
7955895637,0,33,2,2,1,3,5,4,1,4,1014,726,0,0,0,0,0,0,1,1,1,0,1,0,-7
7955929219,0,28,1,3,2,2,5,2,2,4,-1444,-1930,0,0,0,0,0,0,1,1,1,1,1,0,-31
7955929382,1,27,4,2,1,2,4,2,2,4,2309,687,1,0,1,1,1,1,1,0,0,0,1,0,14
7955931753,1,24,2,4,0,2,4,1,2,5,621,1484,1,0,1,0,1,1,0,0,0,0,0,0,22
7955938472,0,27,1,2,1,3,5,3,2,4,-976,-1352,0,0,0,0,0,0,1,0,1,0,1,0,-12
7955952197,1,34,2,1,3,1,4,3,2,5,-1256,874,0,0,0,0,1,0,0,0,0,0,0,0,5
7955952481,1,24,1,4,0,0,5,3,3,5,5092,4169,1,1,1,1,1,1,1,0,0,0,1,0,27
7955976338,1,31,3,2,2,2,5,3,1,5,-2170,-2085,1,0,0,0,1,1,0,0,0,0,0,0,11
7955979164,0,29,1,2,0,3,4,2,1,3,1397,229,0,0,0,0,1,1,1,0,1,0,1,0,-18
7955995898,1,30,0,3,2,3,4,3,1,3,2048,2431,1,0,1,1,1,1,0,0,0,0,0,0,23
7955998416,0,52,1,2,2,2,5,3,2,3,-1745,-255,0,0,0,0,0,0,0,0,0,0,1,0,-6
7956006482,0,25,1,3,1,3,2,3,2,3,-374,-316,0,0,0,0,1,1,1,1,1,0,0,0,-6
7956005838,1,24,3,1,1,2,3,2,0,4,758,-344,1,0,1,1,1,1,0,0,1,0,1,0,29
7956011883,1,30,0,2,0,1,4,4,2,4,2312,3168,1,0,1,1,1,1,0,0,0,0,0,0,12
7956029763,0,34,1,1,1,2,4,4,2,3,-1556,-367,0,0,1,1,0,0,0,0,0,0,0,0,-4
7956030615,1,28,3,3,1,2,4,3,4,5,2035,597,0,0,1,0,1,0,0,0,0,0,0,0,3
7956031806,0,32,1,2,1,3,4,4,2,3,-628,133,1,0,0,0,0,0,0,0,1,0,1,0,5
7956042249,0,24,2,2,2,0,4,3,3,4,-3502,-4292,0,0,0,0,0,0,1,1,1,0,1,1,-16
7956049955,1,40,1,2,2,2,5,3,1,3,-75,759,1,0,0,0,1,0,0,0,0,0,0,0,3
7956059933,0,22,3,4,1,2,4,2,3,4,-3884,-2543,0,0,0,0,1,1,1,1,1,1,1,0,-18
7956068056,0,41,1,3,1,3,3,3,2,4,-101,-1047,0,0,0,0,0,0,0,0,0,0,0,0,-10
7956073736,0,41,1,3,2,2,5,1,1,3,-1033,-1553,0,0,1,0,0,0,1,0,0,0,0,0,-21
7956083366,0,36,3,2,0,2,5,2,4,3,-435,-2414,0,0,0,0,0,0,1,0,1,0,1,0,-11
7956088043,1,30,2,2,1,4,3,3,1,4,945,-809,1,0,1,0,1,0,0,0,0,0,1,0,10
7956113832,1,42,3,1,0,3,4,3,2,4,-508,-677,0,0,1,0,1,0,0,0,0,0,0,0,5
7956124632,0,28,2,3,3,2,4,3,3,4,782,-632,0,0,1,1,0,0,1,0,1,0,1,0,-3
7956124691,1,42,3,2,1,2,3,4,1,4,2493,2173,1,0,0,0,0,0,0,0,0,0,0,0,17
7956121861,1,42,2,3,1,3,5,2,3,5,741,1571,1,0,0,0,1,0,0,0,0,0,0,0,12
7956140248,1,26,2,3,0,3,2,3,2,3,1999,801,1,0,1,1,1,0,0,0,0,0,1,0,18
7956158624,1,21,3,1,0,3,5,2,0,4,5678,5385,1,0,1,1,1,0,0,0,1,0,1,0,20
7956162313,1,21,1,3,2,1,3,4,3,2,5913,5034,1,1,1,1,1,1,0,0,1,1,0,0,33
7956164770,1,33,2,3,0,3,4,3,3,5,-2979,-4572,1,0,1,0,0,0,0,0,1,0,0,0,17
7956168154,0,44,4,1,2,2,5,2,2,5,757,1353,0,0,0,0,0,0,1,1,1,0,1,0,-12
7956170554,1,36,1,4,0,3,4,1,1,4,2899,2026,1,0,1,0,1,0,0,0,0,0,0,0,25
7956176136,0,31,3,1,1,1,4,2,4,3,-1348,-375,0,0,1,1,0,0,1,0,0,0,1,0,-13
7956178519,0,22,0,4,0,3,4,2,3,5,-5613,-2943,0,0,0,0,0,0,1,1,1,1,1,0,-16
7956232212,0,36,2,4,0,1,4,3,3,3,-1064,-362,0,0,0,0,1,1,1,0,1,0,1,0,-12
7956238967,0,26,1,3,1,2,5,3,4,3,-2701,-1567,0,0,0,0,0,0,1,1,1,1,1,1,-21
7956294543,0,27,3,1,1,3,5,3,3,5,3226,2231,0,0,0,0,1,0,1,0,0,0,1,0,-21
7956293590,0,33,2,2,0,2,5,3,3,4,-1889,-1935,0,0,0,0,0,0,1,0,1,0,1,0,-12
7956300343,0,25,2,4,1,2,4,3,2,5,25,1854,0,0,0,0,1,1,1,0,1,1,0,0,-8
7956300282,0,30,1,3,1,0,4,4,4,5,-952,-1085,0,0,0,0,0,0,1,0,1,0,1,0,-24
7956304076,0,23,3,3,2,2,4,4,2,5,-1162,-1079,0,0,0,0,1,0,1,1,1,1,1,1,-13
7956347029,1,31,3,2,0,2,5,2,3,5,277,-1936,0,0,1,0,1,1,0,0,0,0,0,0,9
7956353795,0,27,3,3,2,2,3,3,3,4,5142,3633,0,1,0,1,1,0,1,0,0,0,1,0,-8
7956368213,1,34,1,4,0,3,3,2,2,5,954,-1118,1,0,1,0,1,1,0,0,0,0,0,0,21
7956382274,0,54,3,2,1,3,4,3,3,4,-379,-1787,0,0,0,0,0,0,1,0,1,0,0,0,-16
7956403757,0,35,2,3,2,3,4,1,3,5,-5332,-2145,1,0,0,0,0,0,1,0,0,0,1,0,-23
7956419524,1,26,2,2,0,1,4,3,1,4,-368,32,1,0,1,0,1,1,1,0,0,1,0,0,8
7956470429,0,21,1,2,1,1,4,3,1,4,-908,-401,1,0,0,0,0,0,1,0,1,0,1,1,-26
7956475618,1,29,2,2,0,3,4,4,0,5,995,2674,1,0,1,0,1,0,0,0,0,0,0,0,9
7956532821,0,32,3,1,2,2,4,3,2,3,-872,-1718,1,0,0,0,0,0,0,0,1,0,0,0,-12
7956536062,0,31,1,2,2,1,4,2,2,3,192,-194,0,0,1,1,0,0,0,0,0,0,0,0,10
7956541909,1,29,2,3,3,1,5,3,3,4,634,378,0,0,1,0,1,1,0,0,0,0,0,0,22
7956610333,0,30,1,3,1,2,4,4,2,3,-4366,-4796,0,0,0,0,0,0,1,0,1,0,0,0,-6
7956628986,1,26,2,3,1,1,5,4,4,5,2760,4399,1,0,1,1,1,1,0,0,1,0,0,0,10
7956640901,1,42,2,2,2,4,3,4,3,3,-195,-413,0,0,0,0,0,0,1,0,0,0,0,0,-5
7956674776,0,25,1,2,2,2,5,2,2,3,-1459,-794,0,0,0,1,0,0,1,1,1,0,1,0,-16
7956684458,1,48,4,2,2,2,4,4,2,4,1118,-646,0,0,0,1,0,0,0,0,0,0,0,0,-12
7956685360,0,36,1,2,0,2,4,2,2,3,-1513,-895,0,0,0,0,0,0,1,1,1,0,1,0,-20
7956728258,1,25,3,3,0,2,4,1,2,5,1997,-545,1,0,1,0,1,1,1,0,0,0,0,0,11
7956743714,1,39,1,3,0,1,3,4,4,4,2815,2189,0,0,1,0,1,1,0,0,0,0,0,0,4
7956748067,1,21,0,1,2,1,4,4,3,3,7982,4493,1,1,1,1,1,1,0,0,0,0,0,0,27
7956771811,1,30,3,2,2,3,3,3,3,3,3856,17,1,1,1,1,1,1,0,0,0,0,0,0,18
7956768952,1,30,3,4,1,3,4,2,2,5,5087,4555,1,0,1,0,1,1,0,0,0,0,0,0,25
7956776512,0,27,2,3,0,2,5,3,2,4,-2600,-1734,0,0,0,0,0,0,1,1,1,1,1,1,-23
7956813384,0,44,2,2,2,3,5,2,3,4,-404,1006,0,0,0,0,0,0,0,0,0,0,0,0,10
7956812263,0,26,2,1,2,3,3,3,1,4,-1345,-627,0,0,0,0,1,0,1,1,1,0,1,0,-19
7956847499,1,30,2,3,0,3,3,1,3,4,-964,112,1,0,1,0,0,0,0,0,0,0,0,0,20
7956834368,1,29,1,3,1,1,3,3,1,4,3984,1846,1,1,1,1,1,1,0,0,0,0,0,0,30
7956863390,0,28,2,2,0,3,5,2,3,4,993,540,0,0,0,0,0,0,1,1,1,1,1,1,-4
7956856573,1,37,1,3,1,3,3,2,1,4,1590,2031,1,0,1,0,1,0,0,0,1,0,0,0,21
7956929573,0,35,2,2,1,3,4,3,2,4,-504,-131,0,0,0,0,0,0,1,0,1,0,1,0,-17
7956951940,1,30,2,2,0,3,4,2,0,3,-4373,-3274,1,0,1,1,1,1,1,0,0,0,0,0,14
7957005942,1,38,2,3,1,1,5,2,1,4,281,-1306,0,0,0,0,1,0,1,0,0,0,0,0,6
7957014716,1,38,3,3,1,2,3,4,3,4,602,-1818,0,0,1,0,1,0,0,0,0,0,0,0,7
7957023441,1,25,2,2,2,3,4,3,1,4,360,1271,1,0,1,1,1,0,1,0,0,0,0,0,18
7957064909,1,27,2,2,0,2,4,2,0,3,-1118,1000,1,0,1,1,1,0,0,0,0,0,0,0,18
7957080883,0,21,3,3,0,3,3,3,1,4,-1922,-2195,0,0,0,0,0,0,1,1,1,1,1,0,-15
